"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","slg_percent","on_base_percent","isolated_power","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_game","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly"
"Allen, Nick",669397,2025,371,416,82,71,11,0,0,99,31,23.8,7.5,".251",".284","0.030","93","7","8","135","8","3","0","8","3"
"Devers, Rafael",646240,2025,607,729,153,85,33,0,35,192,112,26.3,15.4,".479",".372","0.227","291","1","1","163","16","6","10","0","4"
"Herrera, Iván",671056,2025,388,452,110,78,13,0,19,84,43,18.6,9.5,".464",".373","0.180","180","2","8","107","20","15","1","0","4"
"Rivas, Leo",660844,2025,90,111,22,18,2,0,2,24,20,21.6,18,".333",".387","0.089","30","0","6","48","1","1","0","0","0"
"Mateo, Jorge",622761,2025,79,83,14,9,4,0,1,30,4,36.1,4.8,".266",".217","0.089","21","2","15","42","1","0","0","0","0"
"Stanton, Giancarlo",519317,2025,249,281,68,36,8,0,24,96,29,34.2,10.3,".594",".350","0.321","148","0","0","77","5","1","3","0","1"
"MacIver, Willie",680862,2025,102,111,19,11,5,0,3,27,7,24.3,6.3,".324",".252","0.138","33","0","3","32","1","2","0","0","0"
"Wilson, Jacob",805779,2025,486,523,151,112,26,0,13,39,27,7.5,5.2,".444",".355","0.133","216","2","5","125","16","7","1","2","1"
"Pederson, Joc",592626,2025,265,306,48,28,10,1,9,65,34,21.2,11.1,".328",".285","0.147","87","0","2","96","5","5","0","0","1"
"Workman, Gage",669398,2025,16,17,3,2,1,0,0,7,1,41.2,5.9,".250",".235","0.062","4","0","1","12","0","0","0","0","0"
"Arcia, Orlando",606115,2025,203,214,41,30,7,1,3,47,10,22,4.7,".291",".238","0.089","59","1","0","76","4","0","0","0","1"
"Crawford, J.P.",641487,2025,570,654,151,115,24,0,12,122,74,18.7,11.3,".370",".352","0.105","211","1","8","157","11","3","1","6","1"
"Gurriel, Yuli",493329,2025,36,40,4,3,1,0,0,8,4,20,10,".139",".200","0.028","5","0","0","16","0","0","0","0","0"
"Espinal, Santiago",669289,2025,301,328,73,61,12,0,0,38,21,11.6,6.4,".282",".292","0.039","85","1","2","114","11","1","0","3","2"
"McCarthy, Jake",664983,2025,206,222,42,26,7,5,4,40,10,18,4.5,".345",".247","0.141","71","0","6","67","2","2","0","3","1"
"Capra, Vinny",681962,2025,96,105,12,9,2,0,1,25,3,23.8,2.9,".177",".157","0.052","17","0","2","47","5","1","0","3","2"
"Stowers, Kyle",669065,2025,399,457,115,66,21,3,25,125,48,27.4,10.5,".544",".368","0.256","217","1","5","117","6","5","3","1","4"
"Kavadas, Niko",694359,2025,20,23,2,2,0,0,0,10,3,43.5,13,".100",".217","0.000","2","0","0","10","0","0","0","0","0"
"Marte, Starling",516782,2025,293,329,79,56,14,0,9,68,22,20.7,6.7,".410",".335","0.140","120","2","7","98","7","9","0","1","4"
"Loftin, Nick",679845,2025,168,188,35,20,9,2,4,27,14,14.4,7.4,".357",".278","0.149","60","1","1","67","7","3","0","1","2"
"Brennan, Will",686823,2025,11,13,1,1,0,0,0,1,1,7.7,7.7,".091",".231","0.000","1","1","0","6","1","1","0","0","0"
"Crim, Blaine",688760,2025,65,74,13,6,2,0,5,28,6,37.8,8.1,".462",".270","0.262","30","0","0","20","0","1","0","0","2"
"Kennedy, Buddy",671083,2025,29,32,2,1,1,0,0,8,2,25,6.3,".103",".156","0.034","3","0","0","13","0","1","0","0","0"
"Gasper, Mickey",681508,2025,95,110,15,12,1,0,2,20,10,18.2,9.1,".232",".257","0.074","22","0","2","45","1","3","0","1","1"
"Acosta, Maximo",691185,2025,54,61,11,7,1,0,3,17,6,27.9,9.8,".389",".295","0.185","21","2","1","19","0","1","0","0","0"
"Hill, Derek",656537,2025,134,149,29,20,6,0,3,48,9,32.2,6,".328",".281","0.112","44","0","7","57","3","3","0","3","0"
"Caglianone, Jac",695506,2025,210,232,33,19,6,1,7,52,18,22.4,7.8,".295",".237","0.138","62","0","1","62","4","4","0","0","0"
"Rushing, Dalton",687221,2025,142,155,29,20,5,0,4,58,10,37.4,6.5,".324",".258","0.120","46","0","0","53","1","1","0","0","2"
"d'Arnaud, Travis",518595,2025,213,231,42,23,13,0,6,74,13,32,5.6,".343",".255","0.146","73","0","0","69","5","4","0","0","1"
"Frelick, Sal",686217,2025,528,594,152,117,20,3,12,80,47,13.5,7.9,".405",".351","0.117","214","6","19","142","4","7","0","3","5"
"Fitzgerald, Tyler",666149,2025,217,243,47,32,10,1,4,70,17,28.8,7,".327",".278","0.110","71","4","9","72","3","2","0","6","1"
"Cole, Zach",805904,2025,47,52,12,6,2,0,4,20,5,38.5,9.6,".553",".327","0.298","26","0","3","15","0","0","0","0","0"
"Lowe, Nathaniel",663993,2025,540,609,123,79,23,3,18,159,62,26.1,10.2,".381",".307","0.153","206","0","1","153","6","2","2","0","5"
"Valdez, Enmanuel",665839,2025,91,102,19,11,4,2,2,16,11,15.7,10.8,".363",".294","0.154","33","0","0","31","2","0","0","0","0"
"Knizner, Andrew",668800,2025,77,88,17,14,1,1,1,10,7,11.4,8,".299",".299","0.078","23","0","0","33","0","2","0","1","1"
"Clase, Jonatan",682729,2025,100,112,21,16,3,0,2,28,10,25,8.9,".300",".288","0.090","30","1","3","34","1","1","0","1","0"
"Gurriel Jr., Lourdes",666971,2025,500,546,124,79,24,2,19,76,31,13.9,5.7,".418",".295","0.170","209","4","10","129","11","6","0","0","9"
"Vierling, Matt",663837,2025,88,100,21,17,3,0,1,24,7,24,7,".307",".310","0.068","27","0","2","31","1","3","0","0","2"
"Feduccia, Hunter",676439,2025,88,105,13,8,5,0,0,29,15,27.6,14.3,".205",".267","0.057","18","0","1","38","0","0","0","0","2"
"Wagner, Will",695238,2025,129,149,29,22,7,0,0,28,17,18.8,11.4,".279",".324","0.054","36","0","1","55","3","2","0","1","0"
"Turner, Justin",457759,2025,169,191,37,27,7,0,3,37,17,19.4,8.9,".314",".288","0.095","53","0","2","80","3","1","0","0","4"
"Schunk, Aaron",668845,2025,32,33,6,5,1,0,0,10,0,30.3,0,".219",".188","0.031","7","0","0","16","1","0","0","1","0"
"Seymour, Bob",676044,2025,78,83,16,13,1,1,1,32,4,38.6,4.8,".282",".253","0.077","22","0","1","26","0","1","0","0","0"
"Witt Jr., Bobby",677951,2025,623,687,184,108,47,6,23,125,49,18.2,7.1,".501",".351","0.206","312","9","38","157","7","8","8","0","7"
"Jung, Jace",690291,2025,47,55,5,5,0,0,0,16,7,29.1,12.7,".106",".236","0.000","5","0","0","21","2","1","0","0","0"
"Raleigh, Cal",663728,2025,596,705,147,63,24,0,60,188,97,26.7,13.8,".589",".359","0.342","351","4","14","159","6","9","17","0","3"
"Mervis, Matt",670223,2025,120,134,21,10,4,0,7,50,11,37.3,8.2,".383",".254","0.208","46","0","0","42","1","2","1","0","1"
"Bregman, Alex",608324,2025,433,495,118,72,28,0,18,70,51,14.1,10.3,".462",".360","0.189","200","1","1","114","12","9","3","0","2"
"Herrera, Jose",645444,2025,166,204,31,23,6,0,2,47,23,23,11.3,".259",".285","0.072","43","0","0","57","2","1","0","11","3"
"Salazar, César",663967,2025,13,16,3,3,0,0,0,2,2,12.5,12.5,".231",".375","0.000","3","0","0","11","1","1","0","0","0"
"Lewis, Royce",668904,2025,376,403,89,58,18,0,13,80,25,19.9,6.2,".388",".283","0.151","146","2","12","106","7","0","0","0","2"
"Hoerner, Nico",663538,2025,599,649,178,138,29,4,7,49,39,7.6,6,".394",".345","0.097","236","6","29","156","4","7","1","0","4"
"Cowser, Colton",681297,2025,327,360,64,34,14,0,16,128,27,35.6,7.5,".385",".269","0.189","126","0","14","92","5","6","1","0","0"
"Chaparro, Andrés",665953,2025,66,73,12,9,2,0,1,22,5,30.1,6.8,".258",".247","0.076","17","0","0","34","0","1","0","0","1"
"Urshela, Gio",570482,2025,181,197,43,28,14,1,0,40,13,20.3,6.6,".326",".287","0.088","59","1","0","59","6","0","0","2","1"
"Renfroe, Hunter",592669,2025,99,108,18,12,6,0,0,21,8,19.4,7.4,".242",".241","0.060","24","0","0","35","4","0","0","0","1"
"Alexander, CJ",680769,2025,17,17,3,3,0,0,0,8,0,47.1,0,".176",".176","0.000","3","0","0","6","0","0","0","0","0"
"Collins, Isaac",686555,2025,372,441,98,64,22,3,9,93,57,21.1,12.9,".411",".368","0.148","153","7","16","130","8","6","0","3","3"
"Narváez, Carlos",665966,2025,403,446,97,55,27,0,15,111,38,24.9,8.5,".419",".306","0.178","169","1","1","118","12","1","0","2","2"
"O'Neill, Tyler",641933,2025,181,209,36,20,6,1,9,51,22,24.4,10.5,".392",".292","0.193","71","0","4","54","2","3","1","0","3"
"Banfield, Will",677943,2025,10,10,1,1,0,0,0,6,0,60,0,".100",".100","0.000","1","0","0","7","1","0","0","0","0"
"Lee, Brooks",686797,2025,487,527,115,83,15,1,16,92,31,17.5,5.9,".370",".285","0.134","180","1","3","139","11","4","0","0","5"
"Amaya, Jacob",676070,2025,66,73,7,6,1,0,0,16,3,21.9,4.1,".121",".139","0.015","8","0","2","36","1","0","0","1","3"
"Rave, John",670231,2025,153,175,30,21,5,0,4,46,18,26.3,10.3,".307",".283","0.111","47","2","7","72","1","1","0","2","1"
"Bryant, Kris",592178,2025,39,41,6,4,2,0,0,13,2,31.7,4.9,".205",".195","0.051","8","0","0","11","1","0","0","0","0"
"Dunn, Blake",694362,2025,60,75,9,6,2,0,1,25,8,33.3,10.7,".233",".320","0.083","14","1","1","30","1","7","0","0","0"
"Muncy, Max",691777,2025,206,220,44,28,7,0,9,68,10,30.9,4.5,".379",".259","0.165","78","1","1","63","1","3","0","0","1"
"Valera, George",671655,2025,41,48,9,5,2,0,2,13,7,27.1,14.6,".415",".333","0.195","17","0","0","16","1","0","0","0","0"
"Refsnyder, Rob",608701,2025,182,209,49,28,12,0,9,54,24,25.8,11.5,".484",".354","0.215","88","0","3","70","6","1","1","0","2"
"Smith, Will",669257,2025,362,436,107,69,20,1,17,89,64,20.4,14.7,".497",".404","0.201","180","3","2","110","7","5","1","0","5"
"Alfaro, Jorge",595751,2025,39,39,10,8,2,0,0,14,0,35.9,0,".308",".256","0.052","12","0","1","14","0","0","0","0","0"
"Azocar, José",640492,2025,19,21,5,5,0,0,0,1,2,4.8,9.5,".263",".333","0.000","5","0","1","14","0","0","0","0","0"
"Pages, Andy",681624,2025,581,624,158,103,27,1,27,135,29,21.6,4.6,".461",".313","0.189","268","7","14","156","9","8","0","0","6"
"Adell, Jo",666176,2025,526,573,124,68,18,1,37,151,33,26.4,5.8,".485",".293","0.249","255","1","5","152","10","10","0","0","1"
"Ornelas, Tirso",672359,2025,14,16,1,1,0,0,0,2,2,12.5,12.5,".071",".188","0.000","1","0","0","7","1","0","0","0","0"
"Mitchell, Garrett",669003,2025,68,78,14,9,4,1,0,25,7,32.1,9,".294",".286","0.088","20","0","3","25","0","1","0","1","1"
"Smith, Dominic",642086,2025,204,225,58,41,12,0,5,42,15,18.7,6.7,".417",".333","0.133","85","0","2","63","5","2","0","0","4"
"Baty, Brett",683146,2025,393,432,100,67,13,2,18,108,33,25,7.6,".435",".313","0.181","171","0","8","130","6","2","0","0","3"
"Pereira, Everson",677592,2025,65,73,9,6,1,0,2,28,7,38.4,9.6,".246",".219","0.108","16","0","2","23","2","0","0","0","1"
"Torrens, Luis",620443,2025,261,283,59,39,14,1,5,56,19,19.8,6.7,".345",".284","0.119","90","0","1","92","7","2","0","1","0"
"Burger, Jake",669394,2025,356,376,84,52,15,1,16,93,12,24.7,3.2,".419",".269","0.183","149","1","1","103","3","5","0","0","3"
"Sabol, Blake",666165,2025,16,18,2,1,1,0,0,7,1,38.9,5.6,".188",".167","0.063","3","0","0","8","1","0","0","0","1"
"Lowe, Josh",666139,2025,396,435,87,53,21,2,11,109,33,25.1,7.6,".366",".283","0.146","145","4","18","108","7","3","1","1","2"
"Waters, Drew",671221,2025,206,219,50,40,6,3,1,60,11,27.4,5,".316",".288","0.073","65","3","5","71","2","2","0","0","0"
"Keaschall, Luke",807712,2025,182,207,55,37,14,0,4,29,19,14,9.2,".445",".382","0.143","81","3","14","49","4","5","0","0","1"
"Fraley, Jake",641584,2025,191,217,46,31,9,0,6,49,25,22.6,11.5,".382",".332","0.141","73","3","4","76","1","1","1","0","0"
"Barger, Addison",680718,2025,460,502,112,58,32,1,21,121,36,24.1,7.2,".454",".301","0.211","209","1","4","135","8","3","4","0","2"
"Escarra, J.C.",641555,2025,84,98,17,10,5,0,2,14,11,14.3,11.2,".333",".296","0.131","28","0","1","40","1","1","0","0","2"
"Bell, Josh",605137,2025,468,533,111,72,16,1,22,88,57,16.5,10.7,".417",".325","0.180","195","3","0","140","15","5","1","0","3"
"Fortes, Nick",663743,2025,218,242,50,35,9,1,5,47,14,19.4,5.8,".349",".296","0.120","76","0","1","97","7","7","0","2","1"
"Ramos, Bryan",682868,2025,12,12,2,0,2,0,0,4,0,33.3,0,".333",".167","0.166","4","0","0","4","0","0","0","0","0"
"Westburg, Jordan",676059,2025,328,352,87,59,10,1,17,80,17,22.7,4.8,".457",".313","0.192","150","2","1","85","5","6","0","0","1"
"Vilade, Ryan",668723,2025,13,15,1,1,0,0,0,5,2,33.3,13.3,".077",".200","0.000","1","0","0","8","1","0","0","0","0"
"Robertson, Will",683770,2025,70,75,9,8,1,0,0,27,2,36,2.7,".143",".173","0.014","10","0","0","27","1","2","0","0","1"
"Pham, Tommy",502054,2025,392,449,96,68,17,1,10,94,50,20.9,11.1,".370",".330","0.125","145","3","5","120","12","2","3","0","5"
"Pauley, Graham",688363,2025,161,184,36,22,9,1,4,36,21,19.6,11.4,".366",".311","0.142","59","0","2","62","1","0","0","1","1"
"Taveras, Leody",665750,2025,171,180,35,25,6,1,3,50,5,27.8,2.8,".304",".226","0.099","52","3","9","58","0","0","0","3","1"
"Young, Cole",702284,2025,223,257,47,35,7,1,4,47,28,18.3,10.9,".305",".302","0.094","68","0","1","77","4","2","1","2","2"
"Pereda, Jhonny",640902,2025,69,78,17,11,6,0,0,21,8,26.9,10.3,".333",".325","0.087","23","0","0","28","1","0","0","1","0"
"Moncada, Yoán",660162,2025,248,289,58,31,13,2,12,75,32,26,11.1,".448",".336","0.214","111","0","0","84","4","7","1","0","2"
"Fry, David",681807,2025,146,157,25,13,4,0,8,58,9,36.9,5.7,".363",".229","0.192","53","0","1","66","3","2","0","0","0"
"Mastrobuoni, Miles",670156,2025,152,175,38,33,4,0,1,29,17,16.6,9.7,".296",".324","0.046","45","3","6","76","2","0","0","5","1"
"Mayer, Marcelo",691785,2025,127,136,29,16,8,1,4,41,8,30.1,5.9,".402",".272","0.174","51","2","0","44","2","0","0","0","1"
"Veen, Zac",691728,2025,34,37,4,2,1,0,1,14,2,37.8,5.4,".235",".189","0.117","8","1","1","12","0","1","0","0","0"
"Harris II, Michael",671739,2025,611,641,152,100,26,6,20,128,16,20,2.5,".409",".268","0.160","250","6","20","160","7","3","1","4","7"
"Teodosio, Bryce",669326,2025,138,150,28,18,7,2,1,47,5,31.3,3.3,".304",".248","0.101","42","1","7","50","2","4","0","1","2"
"Ruiz, Keibert",660688,2025,255,267,63,49,12,0,2,26,8,9.7,3,".318",".277","0.071","81","2","0","68","4","3","0","0","1"
"Eldridge, Bryce",805811,2025,28,37,3,1,2,0,0,13,7,35.1,18.9,".179",".297","0.072","5","0","0","10","0","1","0","0","1"
"Alcántara, Kevin",682634,2025,11,12,4,4,0,0,0,4,1,33.3,8.3,".364",".417","0.000","4","0","1","10","0","0","0","0","0"
"Verdugo, Alex",657077,2025,197,213,47,37,10,0,0,31,14,14.6,6.6,".289",".296","0.050","57","0","1","56","1","2","0","0","0"
"Tatis Jr., Fernando",665487,2025,594,691,159,105,27,2,25,129,89,18.7,12.9,".446",".368","0.178","265","7","32","155","6","6","7","0","2"
"Clement, Ernie",676391,2025,545,588,151,105,35,2,9,61,27,10.4,4.6,".398",".313","0.121","217","5","6","157","13","4","1","7","5"
"Abrams, CJ",682928,2025,580,635,149,90,35,5,19,125,37,19.7,5.8,".433",".315","0.176","251","3","31","144","5","14","1","1","3"
"Ohtani, Shohei",660271,2025,611,727,172,83,25,9,55,187,109,25.7,15,".622",".392","0.340","380","6","20","158","9","3","20","0","2"
"Beavers, Dylan",687637,2025,110,137,25,15,5,1,4,36,26,26.3,19,".400",".375","0.173","44","2","2","35","0","0","0","1","0"
"Duran, Jarren",680776,2025,620,696,159,89,41,13,16,169,60,24.3,8.6,".442",".332","0.186","274","6","24","157","6","12","1","1","3"
"Tovar, Ezequiel",678662,2025,360,390,91,60,18,4,9,98,21,25.1,5.4,".400",".294","0.147","144","3","5","95","2","1","0","6","2"
"Semien, Marcus",543760,2025,470,534,108,76,16,1,15,93,50,17.4,9.4,".364",".305","0.134","171","1","11","127","8","5","0","0","9"
"Rooker, Brent",667670,2025,626,699,164,91,40,3,30,155,65,22.2,9.3,".479",".335","0.217","300","1","6","162","13","5","4","0","2"
"Suzuki, Seiya",673548,2025,571,651,140,74,31,3,32,164,71,25.2,10.9,".478",".326","0.233","273","2","5","151","13","1","1","0","8"
"Hays, Austin",669720,2025,380,416,101,65,16,5,15,107,29,25.7,7,".453",".315","0.187","172","0","7","103","9","1","2","0","6"
"Castro, Willi",650489,2025,402,454,91,60,17,3,11,111,40,24.4,8.8,".366",".313","0.140","147","4","10","120","12","11","1","1","0"
"Bruján, Vidal",660644,2025,87,95,22,17,5,0,0,21,6,22.1,6.3,".310",".305","0.057","27","1","2","60","1","1","0","0","1"
"Yelich, Christian",592885,2025,573,644,151,101,21,0,29,167,64,25.9,9.9,".452",".343","0.188","259","6","16","150","6","6","6","0","1"
"Kepler, Max",596146,2025,417,474,90,53,19,0,18,93,48,19.6,10.1,".391",".300","0.175","163","0","3","127","10","4","3","1","4"
"Crow-Armstrong, Pete",691718,2025,591,647,146,74,37,4,31,155,29,24,4.5,".481",".287","0.234","284","8","35","157","1","9","1","6","12"
"Avans, Drew",682183,2025,17,18,2,2,0,0,0,6,0,33.3,0,".118",".111","0.000","2","0","1","8","0","0","0","0","1"
"Johnston, Troy",687859,2025,112,121,31,24,2,1,4,26,8,21.5,6.6,".420",".331","0.143","47","2","2","44","1","1","0","0","0"
"Kiner-Falefa, Isiah",643396,2025,431,459,113,88,21,2,2,77,17,16.8,3.7,".334",".297","0.072","144","4","15","138","9","5","0","5","1"
"Wynns, Austin",642851,2025,103,110,30,16,8,0,6,32,5,29.1,4.5,".544",".321","0.253","56","0","0","40","3","0","0","1","1"
"Taylor, Tyrone",621438,2025,310,341,69,46,18,3,2,76,16,22.3,4.7,".319",".279","0.096","99","2","12","113","4","9","1","3","2"
"Crews, Dylan",686611,2025,293,322,61,41,8,2,10,76,24,23.6,7.5,".352",".280","0.144","103","5","17","85","4","5","0","0","0"
"Basallo, Samuel",694212,2025,109,118,18,8,6,0,4,30,6,25.4,5.1,".330",".229","0.165","36","0","0","31","4","3","0","0","0"
"Conforto, Michael",624424,2025,418,486,83,51,20,0,12,121,56,24.9,11.5,".333",".305","0.134","139","0","1","138","12","9","0","0","3"
"Sheets, Gavin",657757,2025,492,545,124,76,28,1,19,107,44,19.6,8.1,".429",".317","0.177","211","1","2","145","9","5","1","0","4"
"Kim, Ha-Seong",673490,2025,171,191,40,31,4,0,5,39,16,20.4,8.4,".345",".304","0.111","59","2","6","48","2","2","0","0","2"
"Siani, Michael",672279,2025,17,19,4,4,0,0,0,7,2,36.8,10.5,".235",".316","0.000","4","0","0","19","0","0","0","0","0"
"Lopez, Otto",672640,2025,544,594,134,98,21,0,15,82,44,13.8,7.4,".368",".305","0.122","200","6","15","143","9","3","2","0","3"
"Haggerty, Sam",664059,2025,162,182,41,29,7,3,2,37,16,20.3,8.8,".370",".328","0.117","60","4","12","64","1","2","1","1","0"
"Devanney, Cam",687478,2025,36,38,5,4,1,0,0,21,2,55.3,5.3,".167",".184","0.028","6","1","0","14","1","0","0","0","0"
"Millas, Drew",686452,2025,49,55,15,9,5,1,0,7,4,12.7,7.3,".449",".358","0.143","22","0","2","18","0","0","0","1","0"
"Noda, Ryan",676116,2025,47,59,5,4,0,0,1,25,11,42.4,18.6,".170",".276","0.064","8","0","1","23","0","0","2","1","0"
"Ramírez, Agustín",682663,2025,537,585,124,69,33,1,21,113,36,19.3,6.2,".413",".287","0.182","222","3","16","136","13","8","2","0","4"
"Kjerstad, Heston",677008,2025,156,167,30,19,5,2,4,45,6,26.9,3.6,".327",".240","0.135","51","0","1","54","9","4","0","0","1"
"Carter, Evan",694497,2025,194,220,48,32,9,2,5,41,19,18.6,8.6,".392",".336","0.145","76","2","14","63","2","7","1","0","0"
"Davis, Henry",680779,2025,252,283,42,28,7,0,7,76,18,26.9,6.4,".278",".234","0.111","70","1","2","87","2","5","0","3","3"
"Hiura, Keston",669374,2025,18,21,4,3,1,0,0,7,0,33.3,0,".278",".333","0.056","5","0","0","8","0","3","0","0","0"
"Volpe, Anthony",683011,2025,539,596,114,59,32,4,19,150,43,25.2,7.2,".391",".272","0.179","211","8","18","153","10","4","0","3","7"
"Seager, Corey",608369,2025,380,445,103,63,19,0,21,87,58,19.6,13,".487",".373","0.216","185","0","3","102","13","5","10","0","2"
"Thaiss, Matt",642136,2025,156,190,34,26,6,1,1,46,29,24.2,15.3,".288",".349","0.070","45","1","1","60","2","3","0","1","1"
"Caissie, Owen",683357,2025,26,27,5,3,1,0,1,11,1,40.7,3.7,".346",".222","0.154","9","0","0","12","0","0","0","0","0"
"Urías, Ramón",602104,2025,352,391,85,57,17,0,11,88,27,22.5,6.9,".384",".292","0.143","135","0","3","112","6","2","0","0","10"
"Acuña, Luisangel",682668,2025,175,193,41,34,7,0,0,37,13,19.2,6.7,".274",".293","0.040","48","1","16","95","6","2","0","2","1"
"Wells, Austin",669224,2025,401,448,88,44,22,1,21,118,30,26.3,6.7,".436",".275","0.217","175","1","5","126","10","5","0","0","11"
"Rafaela, Ceddanne",678882,2025,546,587,136,82,34,4,16,117,28,19.9,4.8,".414",".295","0.165","226","5","20","156","9","8","0","3","2"
"Solano, Donovan",456781,2025,166,179,41,33,4,1,3,40,8,22.3,4.5,".337",".291","0.090","56","0","0","71","9","3","0","0","2"
"Gorman, Nolan",669357,2025,351,402,72,43,14,1,14,136,47,33.8,11.7,".370",".296","0.165","130","1","1","111","1","0","2","0","4"
"Walker, Jordan",691023,2025,363,396,78,58,13,1,6,126,29,31.8,7.3,".306",".278","0.091","111","3","10","111","9","3","1","0","1"
"Ibáñez, Andy",628451,2025,176,193,42,30,8,0,4,26,12,13.5,6.2,".352",".301","0.113","62","1","4","91","6","4","0","0","1"
"Ahmed, Nick",605113,2025,9,10,0,0,0,0,0,3,1,30,10,".000",".100","0.000","0","0","1","5","1","0","0","0","0"
"Moreno, Gabriel",672515,2025,277,309,79,57,12,1,9,53,29,17.2,9.4,".433",".353","0.148","120","2","2","83","6","1","3","0","2"
"Trammell, Taylor",666211,2025,117,135,23,13,7,0,3,41,17,30.4,12.6,".333",".296","0.136","39","2","3","52","0","0","0","0","1"
"Cameron, Daz",663662,2025,41,42,8,6,1,0,1,13,1,31,2.4,".293",".214","0.098","12","0","1","21","1","0","0","0","0"
"Bauers, Jake",641343,2025,183,218,43,27,9,0,7,59,32,27.1,14.7,".399",".353","0.164","73","1","8","85","1","2","1","0","1"
"Villar, David",681584,2025,20,25,4,3,1,0,0,5,4,20,16,".250",".360","0.050","5","0","0","9","1","1","0","0","0"
"Suárez, Eugenio",553993,2025,588,657,134,57,28,0,49,196,46,29.8,7,".526",".298","0.298","309","1","4","159","11","16","2","0","7"
"Yoshida, Masataka",807799,2025,188,205,50,35,11,0,4,24,10,11.7,4.9,".388",".307","0.122","73","0","3","55","3","3","0","0","4"
"Karros, Kyle",691720,2025,137,156,31,26,4,0,1,41,15,26.3,9.6,".277",".308","0.051","38","0","0","43","5","2","0","0","2"
"White, Eli",642201,2025,256,271,60,39,8,3,10,70,11,25.8,4.1,".406",".270","0.172","104","1","10","105","2","2","1","1","1"
"Nimmo, Brandon",607043,2025,587,652,154,102,27,0,25,141,50,21.6,7.7,".436",".324","0.174","256","1","13","155","8","7","1","1","7"
"Joe, Connor",656582,2025,70,80,13,9,4,0,0,20,7,25,8.8,".243",".263","0.057","17","2","2","42","2","1","0","0","2"
"Seigler, Anthony",678011,2025,62,73,12,11,1,0,0,16,8,21.9,11,".210",".292","0.016","13","0","2","34","2","1","0","1","1"
"Albies, Ozzie",645277,2025,603,667,145,104,23,2,16,94,55,14.1,8.2,".365",".306","0.125","220","3","14","157","9","4","2","0","5"
"Keith, Colt",690993,2025,414,468,106,69,22,2,13,102,48,21.8,10.3,".413",".333","0.157","171","1","1","137","7","2","1","0","4"
"Polanco, Jorge",593871,2025,471,524,125,69,30,0,26,82,42,15.6,8,".495",".326","0.230","233","3","6","138","7","3","1","3","5"
"Butler, Lawrence",671732,2025,569,630,133,80,30,2,21,179,59,28.4,9.4,".404",".306","0.170","230","7","22","152","7","0","0","2","0"
"Simpson, Chandler",802415,2025,414,441,122,104,15,3,0,43,20,9.8,4.5,".345",".326","0.050","143","12","44","109","10","0","0","3","2"
"Arozarena, Randy",668227,2025,613,709,146,86,32,1,27,191,64,26.9,9,".426",".334","0.188","261","6","31","160","9","27","2","0","5"
"Bae, Ji Hwan",678225,2025,20,25,1,1,0,0,0,9,5,36,20,".050",".240","0.000","1","1","4","13","0","0","0","0","0"
"Baldwin, Brooks",681460,2025,300,328,72,45,15,1,11,86,21,26.2,6.4,".407",".290","0.167","122","0","5","103","9","1","0","4","2"
"Canha, Mark",592192,2025,113,125,24,20,3,0,1,24,7,19.2,5.6,".265",".272","0.053","30","1","0","46","1","3","0","0","2"
"Rosario, Amed",642708,2025,181,191,50,33,11,0,6,31,7,16.2,3.7,".436",".309","0.160","79","0","1","62","6","2","0","0","1"
"Williamson, Ben",810938,2025,277,295,70,56,13,0,1,64,15,21.7,5.1,".310",".294","0.057","86","1","5","85","5","1","0","2","0"
"Dingler, Dillon",693307,2025,435,469,121,85,21,2,13,110,23,23.5,4.9,".425",".327","0.147","185","0","0","126","5","9","2","0","1"
"Heyward, Jason",518792,2025,85,95,15,11,2,0,2,20,6,21.1,6.3,".271",".223","0.095","23","1","0","34","1","0","0","0","3"
"Fletcher, Dominic",666150,2025,32,34,7,1,5,0,1,2,2,5.9,5.9,".469",".265","0.250","15","0","1","12","1","0","0","0","0"
"Naylor, Bo",666310,2025,359,414,70,33,22,1,14,99,45,23.9,10.9,".379",".282","0.184","136","2","1","123","4","1","0","3","6"
"Jones, Nolan",666134,2025,355,403,75,54,14,2,5,113,39,28,9.7,".304",".296","0.093","108","3","8","136","6","5","1","1","3"
"Rodríguez, Julio",677594,2025,652,710,174,107,31,4,32,152,44,21.4,6.2,".474",".324","0.207","309","6","30","160","15","12","5","0","2"
"Taylor, Chris",621035,2025,113,125,21,12,7,0,2,42,5,33.6,4,".301",".256","0.115","34","2","2","58","1","6","0","0","1"
"Rivera, Emmanuel",656896,2025,120,127,30,26,4,0,0,24,6,18.9,4.7,".283",".291","0.033","34","0","1","42","3","1","0","0","0"
"Lockridge, Brandon",663604,2025,134,148,31,23,7,1,0,36,8,24.3,5.4,".299",".276","0.068","40","1","10","67","2","1","0","3","2"
"Wisely, Brett",689172,2025,54,63,10,5,4,0,1,14,7,22.2,11.1,".315",".279","0.130","17","1","1","26","0","0","0","2","0"
"Church, Nathan",701675,2025,56,65,10,8,1,0,1,18,3,27.7,4.6,".250",".254","0.071","14","0","1","27","0","3","0","2","1"
